game_id,team1_id,team2_id,season,team1_seed,team2_seed,team1_position,team2_position,strongseed,weakseed,team1_region,team2_region,slot,host,host_lat,host_long,team1_teamname,team2_teamname,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team1_pt_career_overall_wins,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team2_pt_career_overall_wins,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long,team1_coaches_preseason,team2_coaches_preseason,team1_ap_preseason,team2_ap_preseason,team1_coaches_final,team2_coaches_final,team1_ap_final,team2_ap_final
2024-1163-1235,1163,1235,2024,1,2,W01,W02,1,2,W,W,R4W1,boston,42.3601,-71.0589,Connecticut,Iowa St,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,tj-otzelberger-1,Tj Otzelberger,2,4,1,1,0,0,68,34,97,27,7,27,7,167,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,51.73431734,34.85086342,69.68011127,10.82206035,46.93028096,31.51207116,71.2195122,8.708487085,31.97791165,45.0228833,58.07150596,58.94134478,0.1531608297,0.09017074197,66.2316,64.4543,122.708,126.608,97.6459,94.3949,68.1713,67.3399,110.446,113.864,89.9131,87.1458,41.808215,-72.249537,42.026368,-93.648353,5,,6,,1,4,1,4
2024-1163-1228,1163,1228,2024,1,3,W01,W03,1,3,W,W,R4W1,boston,42.3601,-71.0589,Connecticut,Illinois,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,brad-underwood-1,Brad Underwood,3,7,0,0,0,0,140,87,114,26,8,26,8,249,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,54.63601533,34.98145859,74.46808511,8.232291002,46.64964901,34.26688633,71.69491525,8.275862069,38.26868496,27.92088316,44.37751004,42.8115016,0.05960542451,0.07905997278,66.2316,64.4543,122.708,126.608,97.6459,94.3949,70.5498,69.8886,118.858,125.551,104.051,101.564,41.808215,-72.249537,39.730827,-90.246256,5,,6,25,1,10,1,10
2024-1163-1120,1163,1120,2024,1,4,W01,W04,1,4,W,W,R3W1,boston,42.3601,-71.0589,Connecticut,Auburn,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,bruce-pearl-1,Bruce Pearl,4,12,1,5,1,1,214,118,217,27,7,27,7,445,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,54.91105955,35.22580645,75.18987342,16.0091047,42.79210926,29.78723404,73.61282367,8.584686775,37.47582205,33.29959514,62.05493388,42.76315789,0.1040312094,0.09242613421,66.2316,64.4543,122.708,126.608,97.6459,94.3949,70.9629,69.7887,117.364,120.579,95.7924,91.6765,41.808215,-72.249537,32.600201,-85.492409,5,,6,,1,7,1,7
2024-1163-1361,1163,1361,2024,1,5,W01,W05,1,5,W,W,R3W1,boston,42.3601,-71.0589,Connecticut,San Diego St,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,brian-dutcher-1,Brian Dutcher,4,4,1,1,1,1,175,57,57,24,10,24,10,175,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,51.59071367,31.25884017,72.89586305,11.94852941,48.25367647,30.49932524,70.11494253,8.94239037,37.80748663,40.51394204,50.79171742,48.60186418,0.1061238493,0.08782663388,66.2316,64.4543,122.708,126.608,97.6459,94.3949,67.0337,65.9846,108.712,113.548,98.4268,93.8492,41.808215,-72.249537,32.77525,-117.071228,5,15,6,17,1,25,1,24
2024-1163-1140,1163,1140,2024,1,6,W01,W06,1,6,W,W,R4W1,boston,42.3601,-71.0589,Connecticut,BYU,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,mark-pope-1,Mark Pope,1,1,0,0,0,0,110,51,107,23,10,23,10,187,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,57.97101449,34.80714958,73.77358491,7.710280374,48.20872274,31.82503771,69.76,7.053140097,50.66730219,34.05238829,63.19587629,47.22891566,0.08481865145,0.08611689611,66.2316,64.4543,122.708,126.608,97.6459,94.3949,70.0246,69.0581,116.926,120.486,99.9495,99.4765,41.808215,-72.249537,40.250851,-111.649281,5,,6,,1,21,1,21
2024-1163-1450,1163,1450,2024,1,7,W01,W07,1,7,W,W,R4W1,boston,42.3601,-71.0589,Connecticut,Washington St,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,kyle-smith-2,Kyle Smith,0,0,0,0,0,0,93,70,192,24,9,24,9,257,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,52.61561789,33.97745572,70.08130081,12.47058824,46.90196078,32.02725724,73.51973684,6.595905989,32.01030928,31.52524168,45.74585635,44.27480916,0.07850347118,0.08346633431,66.2316,64.4543,122.708,126.608,97.6459,94.3949,66.6789,64.8206,110.65,113.431,99.4722,97.215,41.808215,-72.249537,46.730448,-117.158168,5,,6,,1,,1,25
2024-1163-1194,1163,1194,2024,1,8,W01,W08,1,8,W,W,R2W1,brooklyn,40.6827,-73.9753,Connecticut,FL Atlantic,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,dusty-may-1,Dusty May,1,1,1,1,1,1,126,68,68,25,8,25,8,126,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,55.99675851,35.63218391,72.03994294,7.745933385,49.26413633,33.65122616,72.71095153,6.726094003,38.82002975,36.24691358,51.03092784,37.93884485,0.1012156647,0.08269535162,66.2316,64.4543,122.708,126.608,97.6459,94.3949,69.0429,68.0531,117.369,118.961,104.021,102.725,41.808215,-72.249537,26.372536,-80.102293,5,9,6,10,1,,1,
2024-1163-1321,1163,1321,2024,1,9,W01,W09,1,9,W,W,R2W1,brooklyn,40.6827,-73.9753,Connecticut,Northwestern,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,chris-collins-3,Chris Collins,2,2,0,0,0,0,177,173,173,21,11,21,11,177,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,49.69749352,39.40740741,74.81751825,9.924385633,50.37807183,35.86429725,72.01210287,10.2852204,36.84497817,36.91115086,59.69084423,59.20529801,0.1051811221,0.07234176726,66.2316,64.4543,122.708,126.608,97.6459,94.3949,64.6113,63.7214,112.16,116.657,104.781,100.752,41.808215,-72.249537,42.058377,-87.673653,5,,6,,1,,1,
2024-1163-1179,1163,1179,2024,1,10,W01,W10,1,10,W,W,R4W1,boston,42.3601,-71.0589,Connecticut,Drake,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,darian-devries-1,Darian Devries,2,2,0,0,0,0,150,54,54,28,6,28,6,150,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,55.0968829,36.45699615,76.28705148,4.545454545,51.92307692,32.97297297,70.20547945,7.160909857,39.62360122,39.27813163,55.86353945,41.64677804,0.09079418014,0.077885055,66.2316,64.4543,122.708,126.608,97.6459,94.3949,68.6721,67.8384,114.237,115.619,100.305,100.904,41.808215,-72.249537,41.60381,-93.654061,5,,6,,1,,1,
2024-1163-1182,1163,1182,2024,1,11,W01,W11,1,11,W,W,R4W1,boston,42.3601,-71.0589,Connecticut,Duquesne,dan-hurley-1,Dan Hurley,3,5,1,1,1,1,135,58,163,31,3,31,3,286,keith-dambrot-1,Keith Dambrot,0,3,0,0,0,0,115,95,268,24,11,24,11,440,58.52417303,36.68711656,74.24698795,14.20807453,43.71118012,31.92488263,72.20447284,8.312128923,40.87261785,33.16035288,63.70070779,46.02346806,0.09414376908,0.08304190952,49.56896552,33.90052356,71.42857143,12.79863481,48.37883959,31.66189112,70.6505295,11.37931034,39.70893971,37.32620321,53.83693046,52.28426396,0.1117822447,0.09505891672,66.2316,64.4543,122.708,126.608,97.6459,94.3949,66.8316,66.3236,104.828,106.921,99.8115,97.5497,41.808215,-72.249537,40.437496,-79.993046,5,,6,,1,,1,
